qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,sqi-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,sqi-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,sqi-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,sqi-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:8:3:40204,40204,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:402,1603:45:16:8:3:40204,Mollas,Mollas,AL040204,Bashkia Cerrik,Bashkia Cërrik,AL0402,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40205,40205,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:402,1603:45:16:8:3:40205,Shales,Shalës,AL040205,Bashkia Cerrik,Bashkia Cërrik,AL0402,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40301,40301,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40301,Bradashesh,Bradashesh,AL040301,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40302,40302,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40302,Elbasan,Elbasan,AL040302,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40303,40303,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40303,Funare,Funarë,AL040303,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40304,40304,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40304,Gjegjan,Gjegjan,AL040304,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40305,40305,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40305,Gjinar,Gjinar,AL040305,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40306,40306,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40306,Gracen,Gracen,AL040306,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40307,40307,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40307,Labinot Fushe,Labinot Fushë,AL040307,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40308,40308,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40308,Labinot Mal,Labinot Mal,AL040308,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40309,40309,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40309,Paper,Papër,AL040309,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40310,40310,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40310,Shirgjan,Shirgjan,AL040310,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40311,40311,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40311,Shushice,Shushicë,AL040311,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40312,40312,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40312,Tregan,Tregan,AL040312,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40313,40313,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:403,1603:45:16:8:3:40313,Zavaline,Zavalinë,AL040313,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40401,40401,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:404,1603:45:16:8:3:40401,Gramsh,Gramsh,AL040401,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40402,40402,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:404,1603:45:16:8:3:40402,Kodovjat,Kodovjat,AL040402,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40403,40403,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:404,1603:45:16:8:3:40403,Kukur,Kukur,AL040403,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40404,40404,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:404,1603:45:16:8:3:40404,Kushove,Kushovë,AL040404,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40405,40405,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:404,1603:45:16:8:3:40405,Lenie,Lënie,AL040405,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40406,40406,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:404,1603:45:16:8:3:40406,Pishaj,Pishaj,AL040406,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40407,40407,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:404,1603:45:16:8:3:40407,Porocan,Poroçan,AL040407,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40408,40408,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:404,1603:45:16:8:3:40408,Skenderbegas,Skëndërbegas,AL040408,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40409,40409,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:404,1603:45:16:8:3:40409,Sult,Sult,AL040409,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40410,40410,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:404,1603:45:16:8:3:40410,Tunje,Tunjë,AL040410,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40501,40501,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:405,1603:45:16:8:3:40501,Hotolisht,Hotolisht,AL040501,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40502,40502,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:405,1603:45:16:8:3:40502,Librazhd,Librazhd,AL040502,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40503,40503,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:405,1603:45:16:8:3:40503,Lunik,Lunik,AL040503,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40504,40504,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:405,1603:45:16:8:3:40504,Orenje,Orenjë,AL040504,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40505,40505,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:405,1603:45:16:8:3:40505,Polis,Polis,AL040505,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40506,40506,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:405,1603:45:16:8:3:40506,Qender,Qendër,AL040506,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40507,40507,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:405,1603:45:16:8:3:40507,Stebleve,Steblevë,AL040507,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40601,40601,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:406,1603:45:16:8:3:40601,Gjocaj,Gjocaj,AL040601,Bashkia Peqin,Bashkia Peqin,AL0406,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40602,40602,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:406,1603:45:16:8:3:40602,Karine,Karinë,AL040602,Bashkia Peqin,Bashkia Peqin,AL0406,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40603,40603,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:406,1603:45:16:8:3:40603,Pajove,Pajovë,AL040603,Bashkia Peqin,Bashkia Peqin,AL0406,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40604,40604,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:406,1603:45:16:8:3:40604,Peqin,Peqin,AL040604,Bashkia Peqin,Bashkia Peqin,AL0406,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40605,40605,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:406,1603:45:16:8:3:40605,Perparim,Përparim,AL040605,Bashkia Peqin,Bashkia Peqin,AL0406,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40606,40606,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:406,1603:45:16:8:3:40606,Sheze,Shezë,AL040606,Bashkia Peqin,Bashkia Peqin,AL0406,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40701,40701,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:407,1603:45:16:8:3:40701,Perrenjas,Perrenjas,AL040701,Bashkia Prrenjas,Bashkia Prrenjas,AL0407,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40702,40702,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:407,1603:45:16:8:3:40702,Qukes,Qukës,AL040702,Bashkia Prrenjas,Bashkia Prrenjas,AL0407,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40703,40703,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:407,1603:45:16:8:3:40703,Rrajce,Rrajcë,AL040703,Bashkia Prrenjas,Bashkia Prrenjas,AL0407,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:40704,40704,1603:45:16:8:0,1603:45:16:8:1:4,1603:45:16:8:2:407,1603:45:16:8:3:40704,Stravaj,Stravaj,AL040704,Bashkia Prrenjas,Bashkia Prrenjas,AL0407,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50101,50101,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:501,1603:45:16:8:3:50101,Divjake,Divjakë,AL050101,Bashkia Divjake,Bashkia Divjakë,AL0501,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50102,50102,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:501,1603:45:16:8:3:50102,Grabian,Grabian,AL050102,Bashkia Divjake,Bashkia Divjakë,AL0501,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50103,50103,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:501,1603:45:16:8:3:50103,Gradishte,Gradishtë,AL050103,Bashkia Divjake,Bashkia Divjakë,AL0501,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50104,50104,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:501,1603:45:16:8:3:50104,Remas,Remas,AL050104,Bashkia Divjake,Bashkia Divjakë,AL0501,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50105,50105,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:501,1603:45:16:8:3:50105,Terbuf,Tërbuf,AL050105,Bashkia Divjake,Bashkia Divjakë,AL0501,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50201,50201,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:502,1603:45:16:8:3:50201,Cakran,Cakran,AL050201,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50202,50202,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:502,1603:45:16:8:3:50202,Dermenas,Dermenas,AL050202,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50203,50203,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:502,1603:45:16:8:3:50203,Fier,Fier,AL050203,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50204,50204,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:502,1603:45:16:8:3:50204,Frakull,Frakull,AL050204,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50205,50205,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:502,1603:45:16:8:3:50205,Levan,Levan,AL050205,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50206,50206,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:502,1603:45:16:8:3:50206,Libofshe,Libofshë,AL050206,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50207,50207,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:502,1603:45:16:8:3:50207,Mbrostar Ura,Mbrostar Ura,AL050207,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50208,50208,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:502,1603:45:16:8:3:50208,Portez,Portëz,AL050208,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50209,50209,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:502,1603:45:16:8:3:50209,Qender,Qendër,AL050209,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50210,50210,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:502,1603:45:16:8:3:50210,Topoje,Topojë,AL050210,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50211,50211,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:502,1603:45:16:8:3:50211,Zharrez,Zharrëz,AL050211,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50301,50301,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:503,1603:45:16:8:3:50301,Allkaj,Allkaj,AL050301,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50302,50302,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:503,1603:45:16:8:3:50302,Ballagat,Ballagat,AL050302,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50303,50303,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:503,1603:45:16:8:3:50303,Bubullime,Bubullimë,AL050303,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50304,50304,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:503,1603:45:16:8:3:50304,Dushk,Dushk,AL050304,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50305,50305,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:503,1603:45:16:8:3:50305,Fier Shegan,Fier Shegan,AL050305,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50306,50306,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:503,1603:45:16:8:3:50306,Golem,Golem,AL050306,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50307,50307,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:503,1603:45:16:8:3:50307,Hysgjokaj,Hysgjokaj,AL050307,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50308,50308,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:503,1603:45:16:8:3:50308,Karbunare,Karbunarë,AL050308,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50309,50309,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:503,1603:45:16:8:3:50309,Kolonje,Kolonjë,AL050309,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50310,50310,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:503,1603:45:16:8:3:50310,Krutje,Krutjë,AL050310,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50311,50311,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:503,1603:45:16:8:3:50311,Lushnje,Lushnjë,AL050311,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50401,50401,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:504,1603:45:16:8:3:50401,Aranitas,Aranitas,AL050401,Bashkia Mallakaster,Bashkia Mallakastrës,AL0504,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50402,50402,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:504,1603:45:16:8:3:50402,Bashkia B,Bashkia B,AL050402,Bashkia Mallakaster,Bashkia Mallakastrës,AL0504,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50403,50403,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:504,1603:45:16:8:3:50403,Fratar,Fratar,AL050403,Bashkia Mallakaster,Bashkia Mallakastrës,AL0504,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50404,50404,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:504,1603:45:16:8:3:50404,Greshice,Greshicë,AL050404,Bashkia Mallakaster,Bashkia Mallakastrës,AL0504,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50405,50405,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:504,1603:45:16:8:3:50405,Hekal,Hekal,AL050405,Bashkia Mallakaster,Bashkia Mallakastrës,AL0504,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50406,50406,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:504,1603:45:16:8:3:50406,Kute,Kutë,AL050406,Bashkia Mallakaster,Bashkia Mallakastrës,AL0504,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50407,50407,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:504,1603:45:16:8:3:50407,Ngracan,Ngraçan,AL050407,Bashkia Mallakaster,Bashkia Mallakastrës,AL0504,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50408,50408,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:504,1603:45:16:8:3:50408,Qender,Qendër,AL050408,Bashkia Mallakaster,Bashkia Mallakastrës,AL0504,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50409,50409,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:504,1603:45:16:8:3:50409,Selite,Selitë,AL050409,Bashkia Mallakaster,Bashkia Mallakastrës,AL0504,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50501,50501,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:505,1603:45:16:8:3:50501,Patos,Patos,AL050501,Bashkia Patos,Bashkia Patos,AL0505,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50502,50502,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:505,1603:45:16:8:3:50502,Ruzhdie,Ruzhdie,AL050502,Bashkia Patos,Bashkia Patos,AL0505,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50601,50601,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:506,1603:45:16:8:3:50601,Kuman,Kuman,AL050601,Bashkia Roskovec,Bashkia Roskovec,AL0506,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50602,50602,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:506,1603:45:16:8:3:50602,Kurjan,Kurjan,AL050602,Bashkia Roskovec,Bashkia Roskovec,AL0506,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50603,50603,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:506,1603:45:16:8:3:50603,Roskovec,Roskovec,AL050603,Bashkia Roskovec,Bashkia Roskovec,AL0506,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:50604,50604,1603:45:16:8:0,1603:45:16:8:1:5,1603:45:16:8:2:506,1603:45:16:8:3:50604,Strum,Strum,AL050604,Bashkia Roskovec,Bashkia Roskovec,AL0506,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60101,60101,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:601,1603:45:16:8:3:60101,Dropull i Poshtem,Dropull i Poshtëm,AL060101,Bashkia Dropull,Bashkia Dropull,AL0601,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:60102,60102,1603:45:16:8:0,1603:45:16:8:1:6,1603:45:16:8:2:601,1603:45:16:8:3:60102,Dropull i Siperm,Dropull i Sipërm,AL060102,Bashkia Dropull,Bashkia Dropull,AL0601,Gjirokaster,Gjirokastër,AL06,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
