#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_vie+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:704:2:11111,11111,1603:45:16:704:0,1603:45:16:704:1:111,1603:45:16:704:2:11111,Binh Luc,Huyện Bình Lục,VN11111,,,,,,Ha Nam,Hà Nam,VN111,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11301,11301,1603:45:16:704:0,1603:45:16:704:1:113,1603:45:16:704:2:11301,Nam Định,TP. Nam Định,VN11301,Nam Dinh,,,,,Nam Dinh,Nam Định,VN113,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11303,11303,1603:45:16:704:0,1603:45:16:704:1:113,1603:45:16:704:2:11303,Vu Ban,Huyện Vụ Bản,VN11303,,,,,,Nam Dinh,Nam Định,VN113,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11305,11305,1603:45:16:704:0,1603:45:16:704:1:113,1603:45:16:704:2:11305,My Loc,Huyện Mỹ Lộc,VN11305,,,,,,Nam Dinh,Nam Định,VN113,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11307,11307,1603:45:16:704:0,1603:45:16:704:1:113,1603:45:16:704:2:11307,Y Yen,Huyện Ý Yên,VN11307,,,,,,Nam Dinh,Nam Định,VN113,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11309,11309,1603:45:16:704:0,1603:45:16:704:1:113,1603:45:16:704:2:11309,Nam Truc,Huyện Nam Trực,VN11309,,,,,,Nam Dinh,Nam Định,VN113,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11311,11311,1603:45:16:704:0,1603:45:16:704:1:113,1603:45:16:704:2:11311,Truc Ninh,Huyện Trực Ninh,VN11311,,,,,,Nam Dinh,Nam Định,VN113,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11313,11313,1603:45:16:704:0,1603:45:16:704:1:113,1603:45:16:704:2:11313,Xuan Truong,Huyện Xuân Trường,VN11313,,,,,,Nam Dinh,Nam Định,VN113,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11315,11315,1603:45:16:704:0,1603:45:16:704:1:113,1603:45:16:704:2:11315,Giao Thuy,Huyện Giao Thủy,VN11315,,,,,,Nam Dinh,Nam Định,VN113,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11317,11317,1603:45:16:704:0,1603:45:16:704:1:113,1603:45:16:704:2:11317,Nghia Hung,Huyện Nghĩa Hưng,VN11317,,,,,,Nam Dinh,Nam Định,VN113,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11319,11319,1603:45:16:704:0,1603:45:16:704:1:113,1603:45:16:704:2:11319,Hai Hau,Huyện Hải Hậu,VN11319,,,,,,Nam Dinh,Nam Định,VN113,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11501,11501,1603:45:16:704:0,1603:45:16:704:1:115,1603:45:16:704:2:11501,Thai Binh,TP. Thái Bình,VN11501,,,,,,Thai Binh,Thái Bình,VN115,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11503,11503,1603:45:16:704:0,1603:45:16:704:1:115,1603:45:16:704:2:11503,Quynh Phu,Huyện Quỳnh Phụ,VN11503,,,,,,Thai Binh,Thái Bình,VN115,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11505,11505,1603:45:16:704:0,1603:45:16:704:1:115,1603:45:16:704:2:11505,Hung Ha,Huyện Hưng Hà,VN11505,,,,,,Thai Binh,Thái Bình,VN115,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11507,11507,1603:45:16:704:0,1603:45:16:704:1:115,1603:45:16:704:2:11507,Thai Thuy,Huyện Thái Thụy,VN11507,,,,,,Thai Binh,Thái Bình,VN115,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11509,11509,1603:45:16:704:0,1603:45:16:704:1:115,1603:45:16:704:2:11509,Dong Hung,Huyện Đông Hưng,VN11509,,,,,,Thai Binh,Thái Bình,VN115,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11511,11511,1603:45:16:704:0,1603:45:16:704:1:115,1603:45:16:704:2:11511,Vu Thu,Huyện Vũ Thư,VN11511,,,,,,Thai Binh,Thái Bình,VN115,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11513,11513,1603:45:16:704:0,1603:45:16:704:1:115,1603:45:16:704:2:11513,Kien Xuong,Huyện Kiến Xương,VN11513,,,,,,Thai Binh,Thái Bình,VN115,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11515,11515,1603:45:16:704:0,1603:45:16:704:1:115,1603:45:16:704:2:11515,Tien Hai,Huyện Tiền Hải,VN11515,,,,,,Thai Binh,Thái Bình,VN115,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11701,11701,1603:45:16:704:0,1603:45:16:704:1:117,1603:45:16:704:2:11701,Ninh Bình,TP. Ninh Bình,VN11701,Ninh Binh,,,,,Ninh Binh,Ninh Bình,VN117,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11703,11703,1603:45:16:704:0,1603:45:16:704:1:117,1603:45:16:704:2:11703,Tam Diep,Thị xã Tam Điệp,VN11703,,,,,,Ninh Binh,Ninh Bình,VN117,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11705,11705,1603:45:16:704:0,1603:45:16:704:1:117,1603:45:16:704:2:11705,Nho Quan,Huyện Nho Quan,VN11705,,,,,,Ninh Binh,Ninh Bình,VN117,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11707,11707,1603:45:16:704:0,1603:45:16:704:1:117,1603:45:16:704:2:11707,Gia Vien,Huyện Gia Viễn,VN11707,,,,,,Ninh Binh,Ninh Bình,VN117,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11709,11709,1603:45:16:704:0,1603:45:16:704:1:117,1603:45:16:704:2:11709,Hoa Lu,Huyện Hoa Lư,VN11709,,,,,,Ninh Binh,Ninh Bình,VN117,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11711,11711,1603:45:16:704:0,1603:45:16:704:1:117,1603:45:16:704:2:11711,Yen Mo,Huyện Yên Mô,VN11711,,,,,,Ninh Binh,Ninh Bình,VN117,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11713,11713,1603:45:16:704:0,1603:45:16:704:1:117,1603:45:16:704:2:11713,Yen Khanh,Huyện Yên Khánh,VN11713,,,,,,Ninh Binh,Ninh Bình,VN117,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:11715,11715,1603:45:16:704:0,1603:45:16:704:1:117,1603:45:16:704:2:11715,Kim Son,Huyện Kim Sơn,VN11715,,,,,,Ninh Binh,Ninh Bình,VN117,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20101,20101,1603:45:16:704:0,1603:45:16:704:1:201,1603:45:16:704:2:20101,Ha Giang,TP. Hà Giang,VN20101,,,,,,Ha Giang,Hà Giang,VN201,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20103,20103,1603:45:16:704:0,1603:45:16:704:1:201,1603:45:16:704:2:20103,Dong Van,Huyện Đồng Văn,VN20103,,,,,,Ha Giang,Hà Giang,VN201,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20105,20105,1603:45:16:704:0,1603:45:16:704:1:201,1603:45:16:704:2:20105,Meo Vac,Huyện Mèo Vạc,VN20105,,,,,,Ha Giang,Hà Giang,VN201,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20107,20107,1603:45:16:704:0,1603:45:16:704:1:201,1603:45:16:704:2:20107,Yen Minh,Huyện Yên Minh,VN20107,,,,,,Ha Giang,Hà Giang,VN201,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20109,20109,1603:45:16:704:0,1603:45:16:704:1:201,1603:45:16:704:2:20109,Quan Ba,Huyện Quản Bạ,VN20109,,,,,,Ha Giang,Hà Giang,VN201,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20111,20111,1603:45:16:704:0,1603:45:16:704:1:201,1603:45:16:704:2:20111,Bac Me,Huyện Bắc Mê,VN20111,,,,,,Ha Giang,Hà Giang,VN201,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20113,20113,1603:45:16:704:0,1603:45:16:704:1:201,1603:45:16:704:2:20113,Hoang Su Phi,Huyện Hoàng Su Phì,VN20113,,,,,,Ha Giang,Hà Giang,VN201,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20115,20115,1603:45:16:704:0,1603:45:16:704:1:201,1603:45:16:704:2:20115,Vi Xuyen,Huyện Vị Xuyên,VN20115,,,,,,Ha Giang,Hà Giang,VN201,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20117,20117,1603:45:16:704:0,1603:45:16:704:1:201,1603:45:16:704:2:20117,Xin Man,Huyện Xín Mần,VN20117,,,,,,Ha Giang,Hà Giang,VN201,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20119,20119,1603:45:16:704:0,1603:45:16:704:1:201,1603:45:16:704:2:20119,Bac Quang,Huyện Bắc Quang,VN20119,,,,,,Ha Giang,Hà Giang,VN201,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20120,20120,1603:45:16:704:0,1603:45:16:704:1:201,1603:45:16:704:2:20120,Quang Binh,Huyện Quang Bình,VN20120,,,,,,Ha Giang,Hà Giang,VN201,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20301,20301,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20301,Cao Bang,TP. Cao Bằng,VN20301,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20303,20303,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20303,Bao Lac,Huyện Bảo Lạc,VN20303,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20304,20304,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20304,Bao Lam,Huyện Bảo Lâm,VN20304,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20305,20305,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20305,Ha Quang,Huyện Hà Quảng,VN20305,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20307,20307,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20307,Thong Nong,Huyện Thông Nông,VN20307,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20309,20309,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20309,Tra Linh,Huyện Trà Lĩnh,VN20309,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20311,20311,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20311,Trung Khanh,Huyện Trùng Khánh,VN20311,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20313,20313,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20313,Nguyen Binh,Huyện Nguyên Bình,VN20313,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20315,20315,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20315,Hoa An,Huyện Hòa An,VN20315,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20317,20317,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20317,Quang Uyen,Huyện Quảng Uyên,VN20317,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20318,20318,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20318,Phuc Hoa,Huyện Phục Hòa,VN20318,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20319,20319,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20319,Ha Lang,Huyện Hạ Lang,VN20319,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20321,20321,1603:45:16:704:0,1603:45:16:704:1:203,1603:45:16:704:2:20321,Thach An,Huyện Thạch An,VN20321,,,,,,Cao Bang,Cao Bằng,VN203,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20501,20501,1603:45:16:704:0,1603:45:16:704:1:205,1603:45:16:704:2:20501,Lao Cai,TP. Lào Cai,VN20501,,,,,,Lao Cai,Lào Cai,VN205,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20505,20505,1603:45:16:704:0,1603:45:16:704:1:205,1603:45:16:704:2:20505,Muong Khuong,Huyện Mường Khương,VN20505,,,,,,Lao Cai,Lào Cai,VN205,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20507,20507,1603:45:16:704:0,1603:45:16:704:1:205,1603:45:16:704:2:20507,Bat Xat,Huyện Bát Xát,VN20507,,,,,,Lao Cai,Lào Cai,VN205,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20508,20508,1603:45:16:704:0,1603:45:16:704:1:205,1603:45:16:704:2:20508,Si Ma Cai,Huyện Si Ma Cai,VN20508,,,,,,Lao Cai,Lào Cai,VN205,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20509,20509,1603:45:16:704:0,1603:45:16:704:1:205,1603:45:16:704:2:20509,Bac Ha,Huyện Bắc Hà,VN20509,,,,,,Lao Cai,Lào Cai,VN205,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20511,20511,1603:45:16:704:0,1603:45:16:704:1:205,1603:45:16:704:2:20511,Bao Thang,Huyện Bảo Thắng,VN20511,,,,,,Lao Cai,Lào Cai,VN205,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20513,20513,1603:45:16:704:0,1603:45:16:704:1:205,1603:45:16:704:2:20513,Sa Pa,Huyện Sa Pa,VN20513,,,,,,Lao Cai,Lào Cai,VN205,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20515,20515,1603:45:16:704:0,1603:45:16:704:1:205,1603:45:16:704:2:20515,Bao Yen,Huyện Bảo Yên,VN20515,,,,,,Lao Cai,Lào Cai,VN205,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20519,20519,1603:45:16:704:0,1603:45:16:704:1:205,1603:45:16:704:2:20519,Van Ban,Huyện Văn Bàn,VN20519,,,,,,Lao Cai,Lào Cai,VN205,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20701,20701,1603:45:16:704:0,1603:45:16:704:1:207,1603:45:16:704:2:20701,Bac Kan,Thị xã Bắc Kạn,VN20701,,,,,,Bac Kan,Bắc Kạn,VN207,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20703,20703,1603:45:16:704:0,1603:45:16:704:1:207,1603:45:16:704:2:20703,Ba Be,Huyện Ba Bể,VN20703,,,,,,Bac Kan,Bắc Kạn,VN207,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20704,20704,1603:45:16:704:0,1603:45:16:704:1:207,1603:45:16:704:2:20704,Pac Nam,Huyện Pác Nặm,VN20704,,,,,,Bac Kan,Bắc Kạn,VN207,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20705,20705,1603:45:16:704:0,1603:45:16:704:1:207,1603:45:16:704:2:20705,Ngan Son,Huyện Ngân Sơn,VN20705,,,,,,Bac Kan,Bắc Kạn,VN207,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20707,20707,1603:45:16:704:0,1603:45:16:704:1:207,1603:45:16:704:2:20707,Cho Don,Huyện Chợ Đồn,VN20707,,,,,,Bac Kan,Bắc Kạn,VN207,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20709,20709,1603:45:16:704:0,1603:45:16:704:1:207,1603:45:16:704:2:20709,Na Ri,Huyện Na Rì,VN20709,,,,,,Bac Kan,Bắc Kạn,VN207,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20711,20711,1603:45:16:704:0,1603:45:16:704:1:207,1603:45:16:704:2:20711,Bach Thong,Huyện Bạch Thông,VN20711,,,,,,Bac Kan,Bắc Kạn,VN207,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20712,20712,1603:45:16:704:0,1603:45:16:704:1:207,1603:45:16:704:2:20712,Cho Moi,Huyện Chợ Mới,VN20712,,,,,,Bac Kan,Bắc Kạn,VN207,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20901,20901,1603:45:16:704:0,1603:45:16:704:1:209,1603:45:16:704:2:20901,Lang Son,TP. Lạng Sơn,VN20901,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20903,20903,1603:45:16:704:0,1603:45:16:704:1:209,1603:45:16:704:2:20903,Trang Dinh,Huyện Tràng Định,VN20903,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20905,20905,1603:45:16:704:0,1603:45:16:704:1:209,1603:45:16:704:2:20905,Van Lang,Huyện Văn Lãng,VN20905,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20907,20907,1603:45:16:704:0,1603:45:16:704:1:209,1603:45:16:704:2:20907,Binh Gia,Huyện Bình Gia,VN20907,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20909,20909,1603:45:16:704:0,1603:45:16:704:1:209,1603:45:16:704:2:20909,Bac Son,Huyện Bắc Sơn,VN20909,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20911,20911,1603:45:16:704:0,1603:45:16:704:1:209,1603:45:16:704:2:20911,Van Quan,Huyện Văn Quan,VN20911,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20913,20913,1603:45:16:704:0,1603:45:16:704:1:209,1603:45:16:704:2:20913,Cao Loc,Huyện Cao Lộc,VN20913,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20915,20915,1603:45:16:704:0,1603:45:16:704:1:209,1603:45:16:704:2:20915,Loc Binh,Huyện Lộc Bình,VN20915,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20917,20917,1603:45:16:704:0,1603:45:16:704:1:209,1603:45:16:704:2:20917,Chi Lang,Huyện Chi Lăng,VN20917,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20919,20919,1603:45:16:704:0,1603:45:16:704:1:209,1603:45:16:704:2:20919,Dinh Lap,Huyện Đình Lập,VN20919,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:20921,20921,1603:45:16:704:0,1603:45:16:704:1:209,1603:45:16:704:2:20921,Huu Lung,Huyện Hữu Lũng,VN20921,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21101,21101,1603:45:16:704:0,1603:45:16:704:1:211,1603:45:16:704:2:21101,Tuyen Quang,TP. Tuyên Quang,VN21101,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21103,21103,1603:45:16:704:0,1603:45:16:704:1:211,1603:45:16:704:2:21103,Na Hang,Huyện Na Hang,VN21103,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21105,21105,1603:45:16:704:0,1603:45:16:704:1:211,1603:45:16:704:2:21105,Chiem Hoa,Huyện Chiêm Hóa,VN21105,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21107,21107,1603:45:16:704:0,1603:45:16:704:1:211,1603:45:16:704:2:21107,Ham Yen,Huyện Hàm Yên,VN21107,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21109,21109,1603:45:16:704:0,1603:45:16:704:1:211,1603:45:16:704:2:21109,Yen Son,Huyện Yên Sơn,VN21109,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21111,21111,1603:45:16:704:0,1603:45:16:704:1:211,1603:45:16:704:2:21111,Son Duong,Huyện Sơn Dương,VN21111,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21112,21112,1603:45:16:704:0,1603:45:16:704:1:211,1603:45:16:704:2:21112,Lam Binh,Huyện Lâm Bình,VN21112,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21301,21301,1603:45:16:704:0,1603:45:16:704:1:213,1603:45:16:704:2:21301,Yen Bai,TP. Yên Bái,VN21301,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21303,21303,1603:45:16:704:0,1603:45:16:704:1:213,1603:45:16:704:2:21303,Nghia Lo,Thị xã Nghĩa Lộ,VN21303,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21305,21305,1603:45:16:704:0,1603:45:16:704:1:213,1603:45:16:704:2:21305,Luc Yen,Huyện Lục Yên,VN21305,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21307,21307,1603:45:16:704:0,1603:45:16:704:1:213,1603:45:16:704:2:21307,Van Yen,Huyện Văn Yên,VN21307,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21309,21309,1603:45:16:704:0,1603:45:16:704:1:213,1603:45:16:704:2:21309,Mu Cang Chai,Huyện Mù Cang Chải,VN21309,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21311,21311,1603:45:16:704:0,1603:45:16:704:1:213,1603:45:16:704:2:21311,Tran Yen,Huyện Trấn Yên,VN21311,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21313,21313,1603:45:16:704:0,1603:45:16:704:1:213,1603:45:16:704:2:21313,Yen Binh,Huyện Yên Bình,VN21313,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21315,21315,1603:45:16:704:0,1603:45:16:704:1:213,1603:45:16:704:2:21315,Van Chan,Huyện Văn Chấn,VN21315,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21317,21317,1603:45:16:704:0,1603:45:16:704:1:213,1603:45:16:704:2:21317,Tram Tau,Huyện Trạm Tấu,VN21317,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21501,21501,1603:45:16:704:0,1603:45:16:704:1:215,1603:45:16:704:2:21501,Thai Nguyen,TP. Thái Nguyên,VN21501,,,,,,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:2:21503,21503,1603:45:16:704:0,1603:45:16:704:1:215,1603:45:16:704:2:21503,Song Cong,Thị xã Sông Công,VN21503,,,,,,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
