#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_tha+is_thai,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_tha+is_thai,#adm2+name+alt2+i_tha+is_thai,#adm1+name+i_eng+is_latn,#adm1+name+i_tha+is_thai,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_tha+is_thai,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:764:2:1409,1409,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1409,Phachi,ภาชี,TH1409,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1410,1410,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1410,Lat Bua Luang,ลาดบัวหลวง,TH1410,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1411,1411,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1411,Wang Noi,วังน้อย,TH1411,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1412,1412,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1412,Sena,เสนา,TH1412,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1413,1413,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1413,Bang Sai,บางซ้าย,TH1413,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1414,1414,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1414,Uthai,อุทัย,TH1414,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1415,1415,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1415,Maha Rat,มหาราช,TH1415,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1416,1416,1603:45:16:764:0,1603:45:16:764:1:14,1603:45:16:764:2:1416,Ban Phraek,บ้านแพรก,TH1416,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1501,1501,1603:45:16:764:0,1603:45:16:764:1:15,1603:45:16:764:2:1501,Mueang Ang Thong,เมืองอ่างทอง,TH1501,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1502,1502,1603:45:16:764:0,1603:45:16:764:1:15,1603:45:16:764:2:1502,Chaiyo,ไชโย,TH1502,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1503,1503,1603:45:16:764:0,1603:45:16:764:1:15,1603:45:16:764:2:1503,Pa Mok,ป่าโมก,TH1503,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:2:1504,1504,1603:45:16:764:0,1603:45:16:764:1:15,1603:45:16:764:2:1504,Pho Thong,โพธิ์ทอง,TH1504,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
