#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:384:2:2103,2103,1603:45:16:384:0,1603:45:16:384:1:21,1603:45:16:384:2:2103,Odienne,CI2103,,,,Kabadougou,CI21,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2104,2104,1603:45:16:384:0,1603:45:16:384:1:21,1603:45:16:384:2:2104,Samatiguila,CI2104,,,,Kabadougou,CI21,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2105,2105,1603:45:16:384:0,1603:45:16:384:1:21,1603:45:16:384:2:2105,Séguélon,CI2105,Seguelon,,,Kabadougou,CI21,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2201,2201,1603:45:16:384:0,1603:45:16:384:1:22,1603:45:16:384:2:2201,Divo,CI2201,,,,Loh-Djiboua,CI22,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2202,2202,1603:45:16:384:0,1603:45:16:384:1:22,1603:45:16:384:2:2202,Guitry,CI2202,,,,Loh-Djiboua,CI22,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2203,2203,1603:45:16:384:0,1603:45:16:384:1:22,1603:45:16:384:2:2203,Lakota,CI2203,,,,Loh-Djiboua,CI22,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2301,2301,1603:45:16:384:0,1603:45:16:384:1:23,1603:45:16:384:2:2301,Bouaflé,CI2301,Bouafle,,,Marahoue,CI23,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2302,2302,1603:45:16:384:0,1603:45:16:384:1:23,1603:45:16:384:2:2302,Sinfra,CI2302,,,,Marahoue,CI23,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2303,2303,1603:45:16:384:0,1603:45:16:384:1:23,1603:45:16:384:2:2303,Zuénoula,CI2303,Zuenoula,,,Marahoue,CI23,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2401,2401,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2401,Adzopé,CI2401,Adzope,,,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2402,2402,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2402,Akoupé,CI2402,Akoupe,,,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2403,2403,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2403,Alépé,CI2403,Alepe,,,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2404,2404,1603:45:16:384:0,1603:45:16:384:1:24,1603:45:16:384:2:2404,Yakassé-Attobrou,CI2404,Yakasse-Attobrou,,,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2501,2501,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2501,Arrah,CI2501,,,,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2502,2502,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2502,Bongouanou,CI2502,,,,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2503,2503,1603:45:16:384:0,1603:45:16:384:1:25,1603:45:16:384:2:2503,M'Batto,CI2503,MBatto,,,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2601,2601,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2601,Buyo,CI2601,,,,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2602,2602,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2602,Guéyo,CI2602,Gueyo,,,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2603,2603,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2603,Méagui,CI2603,Meagui,,,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2604,2604,1603:45:16:384:0,1603:45:16:384:1:26,1603:45:16:384:2:2604,Soubré,CI2604,Soubre,,,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:2701,2701,1603:45:16:384:0,1603:45:16:384:1:27,1603:45:16:384:2:2701,Bocanda,CI2701,,,,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
