#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq
16306,Q2355804
16314,Q1802840
16330,Q2011643
16357,Q2088956
16373,Q771693
16390,Q1751350
16411,Q1802775
16438,Q1787055
16454,Q2078721
16470,Q1787511
16497,Q1788271
16519,Q1759622
16535,Q1802687
16551,Q1802414
16578,Q1802324
16594,Q1787064
16616,Q1759405
16632,Q598179
16659,Q2089248
16675,Q2002138
16691,Q2064219
16713,Q591577
16730,Q1787530
16756,Q1787072
16772,Q2088951
16799,Q1788257
16810,Q1802289
16837,Q1787040
16853,Q1802633
16870,Q1786961
16896,Q649314
16918,Q1787080
16934,Q1789047
16950,Q379152
16977,Q2008149
16993,Q2213742
17019,Q1759342
17035,Q1802783
17051,Q1804068
17078,Q1788386
17094,Q368917
17116,Q1786973
17132,Q507247
17159,Q1802624
17175,Q1787569
17191,Q1787030
17213,Q521491
17230,Q1802281
17256,Q1802850
17272,Q534097
17299,Q526249
17310,Q973069
17337,Q1802253
17353,Q1802336
17370,Q1802377
17396,Q1802790
17418,Q1786943
17434,Q585538
17450,Q1786932
17477,Q599726
17493,Q1802383
17515,Q786174
17531,Q548971
17558,Q2078937
17574,Q1802831
17590,Q694845
17612,Q131620
17639,Q1116574
17655,Q1802859
17671,Q1802421
17698,Q2088917
17710,Q1845017
17736,Q1786926
17752,Q1786939
17779,Q1786896
17795,Q986261
17817,Q772851
17833,Q2309743
17850,Q2078782
17876,Q1759093
17892,Q1802585
17914,Q1857718
17930,Q1786870
17957,Q1786891
17973,Q1786911
17990,Q2008056
18015,Q1802657
18031,Q2079757
18058,Q2298053
18074,Q1802616
18090,Q1786863
18112,Q1802639
18139,Q2232145
18155,Q2066132
18171,Q1802371
18198,Q2309715
18210,Q1802806
18236,Q1854793
18252,Q1786789
18279,Q1786881
18295,Q2008095
18317,Q1786782
18333,Q1802608
18350,Q1786710
18376,Q2088944
18392,Q1786769
18414,Q734571
18430,Q1802815
18457,Q945450
18473,Q2090942
18490,Q1802399
18511,Q2068898
18538,Q1812846
18554,Q2016592
18570,Q2021824
18597,Q1786778
18619,Q428496
18635,Q1802353
18651,Q1786695
18678,Q589586
18694,Q1802204
18716,Q1125401
18732,Q1802579
18759,Q1802310
18775,Q2011631
18791,Q1802650
18813,Q1759083
18830,Q1786689
18856,Q1797006
18872,Q1802407
18899,Q1786764
18910,Q600510
18937,Q1802391
18953,Q586682
18970,Q2309735
18996,Q1920821
19003,Q969630
19011,Q1847056
19020,Q2078739
19038,Q1998462
19046,Q2009265
19054,Q1998976
19062,Q1808017
19070,Q1816238
19089,Q977785
19097,Q2065239
19100,Q1808490
19119,Q385529
19127,Q2008384
19135,Q728790
19143,Q2011935
19151,Q374669
19160,Q2012226
19178,Q37378
19186,Q1973538
19194,Q2065337
19208,Q2329696
19216,Q1816283
19224,Q377255
19232,Q963490
19240,Q284134
19259,Q1808029
19267,Q2078761
19275,Q663661
19283,Q2010762
19291,Q978537
19305,Q2662559
19313,Q525672
19321,Q1808674
19330,Q1800788
19348,Q1808686
19356,Q2309706
19364,Q970131
19372,Q2065978
19380,Q1808910
19399,Q792606
19402,Q2009398
19410,Q285051
19429,Q224967
19437,Q677612
19445,Q1808707
19453,Q2066065
19461,Q777156
19470,Q2087575
19488,Q2078731
19496,Q776733
19500,Q1816080
19518,Q1808935
19526,Q1829476
19534,Q2010961
19542,Q644127
19550,Q338286
19569,Q649347
19577,Q1808002
19585,Q2010915
19593,Q1808661
19607,Q1816259
19615,Q1816118
19623,Q674753
19631,Q606068
19640,Q734849
19658,Q986350
19666,Q2098422
19674,Q1816046
19682,Q1875004
19690,Q1807989
19704,Q2009254
19712,Q1816227
19720,Q2103106
19739,Q1816219
19747,Q2064424
19755,Q1808637
19763,Q1816058
19771,Q1808745
19780,Q1808715
19798,Q1816125
19801,Q1815927
19810,Q193016
19828,Q2009287
19836,Q749757
19844,Q2077855
19852,Q1816295
19860,Q375711
19879,Q1808697
19887,Q2009892
19895,Q2010944
19909,Q1800798
19917,Q635267
19925,Q1759357
19933,Q1999780
19941,Q2065971
19950,Q2009615
19968,Q2010733
19976,Q1843416
19984,Q2009368
19992,Q512810
20001,Q2102814
20010,Q2009277
20036,Q2064364
20052,Q2011350
20079,Q2010383
20095,Q2009945
20117,Q2010563
20133,Q644558
20150,Q1814531
20176,Q2006072
20192,Q2040548
20214,Q1816186
20230,Q2011192
20257,Q2008657
20273,Q1827121
20290,Q1991293
20311,Q1816212
20338,Q2010365
20354,Q2009933
20370,Q929040
20397,Q2103719
20419,Q2079014
20435,Q734484
20451,Q2008704
20478,Q2010372
20494,Q2065204
20516,Q167436
20532,Q2008677
20559,Q1815979
20575,Q2008715
20591,Q2008351
20613,Q1808550
20630,Q1921322
20656,Q2011329
20672,Q2010981
20699,Q2009351
20710,Q2065825
20737,Q2078997
20753,Q2010590
20770,Q2329682
20796,Q1008338
20818,Q2009309
20834,Q965785
20850,Q2079004
20877,Q727109
20893,Q764440
20915,Q1808648
20931,Q2010356
20958,Q1808426
20974,Q2341988
20990,Q2008665
21016,Q2009331
21032,Q521125
21059,Q2048449
21075,Q658619
21091,Q2009341
21113,Q1816157
21130,Q2008376
21156,Q2104849
21172,Q1966384
21199,Q2081885
21210,Q2342000
21237,Q2009239
21253,Q2009248
21270,Q2009920
21296,Q2008685
21318,Q731296
21334,Q2067408
21350,Q2011307
21377,Q1870026
21393,Q2008741
21415,Q1816070
21431,Q2078751
21458,Q2329634
21474,Q2095104
21490,Q2011046
21512,Q782948
21539,Q2077775
21555,Q289067
21571,Q1897689
21598,Q2085541
21610,Q2065031
21636,Q2009391
21652,Q2329762
21679,Q2329779
21695,Q2329720
21717,Q2010753
21733,Q2009875
21750,Q1937304
21776,Q680275
21792,Q767395
21814,Q2008734
21830,Q2009071
21857,Q2009321
21873,Q2010404
21890,Q2010579
21911,Q2010773
