qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,ara-Arab-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:887:3:110522,110522,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110522,Bait As Saydi,بيت الصائدي,YE110522,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110523,110523,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110523,Al Qabil Al Asfal,القابل الاسفل,YE110523,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110524,110524,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110524,Maqna',مقنع,YE110524,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110525,110525,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110525,Al Miftah,المفتاح,YE110525,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110526,110526,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110526,Al Qabil Al A'la,القابل الاعلى,YE110526,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110527,110527,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110527,Al Wasat,الوسط,YE110527,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110528,110528,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1105,1603:45:16:887:3:110528,Al Abs,العبس,YE110528,Ash Sha'ir,الشعر,YE1105,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110621,110621,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110621,Wadi Hajjaj,وادي حجاج,YE110621,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110622,110622,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110622,Wadi Al Habali,وادي الحبالي,YE110622,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110623,110623,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1106,1603:45:16:887:3:110623,At Tuwiti,التويتي,YE110623,As Saddah,السده,YE1106,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
