#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:104:2:7002,7002,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:7002,Taungoo,တောင်ငူခရိုင်,MM007D002,,,,,,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:8001,8001,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8001,Pyay,ပြည်ခရိုင်,MM008D001,,,,,,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:8002,8002,1603:45:16:104:0,1603:45:16:104:1:111,1603:45:16:104:2:8002,Thayarwady,သာယာဝတီခရိုင်,MM008D002,,,,,,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:9001,9001,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9001,Magway,မကွေးခရိုင်,MM009D001,,,,,,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:9002,9002,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9002,Minbu,မင်းဘူးခရိုင်,MM009D002,,,,,,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:9003,9003,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9003,Thayet,သရက်ခရိုင်,MM009D003,,,,,,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:9004,9004,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9004,Pakokku,ပခုက္ကူခရိုင်,MM009D004,,,,,,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:9005,9005,1603:45:16:104:0,1603:45:16:104:1:9,1603:45:16:104:2:9005,Gangaw,ဂန့်ဂေါခရိုင်,MM009D005,,,,,,Magway,မကွေးတိုင်းဒေသကြီး,MM009,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:10001,10001,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10001,Mandalay,မန္တလေးခရိုင်,MM010D001,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:10002,10002,1603:45:16:104:0,1603:45:16:104:1:10,1603:45:16:104:2:10002,Pyinoolwin,ပြင်ဦးလွင်ခရိုင်,MM010D002,,,,,,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
